,Pris,address,zipcode,m2,rooms
6043, 9.500.000, Trangravsvej 37,1436 København K,98,3
6044, 12.400.000, Trangravsvej 29,1436 København K,103,4
6045, 12.900.000, Trangravsvej 37,1436 København K,132,3
6046, 13.400.000, Trangravsvej 29,1436 København K,117,3
6047, 13.400.000, Trangravsvej 29,1436 København K,134,3
6048, 19.000.000, Trangravsvej 69,1436 København K,155,4
6049, 950.000, Arkildsdal 128 st ,9400 Nørresundby,62,2
6050, 1.925.000, Blegdalsparken 31 3 th ,9000 Aalborg,68,3
6051, 2.349.000, Stjernepladsen 5 7 2 ,9000 Aalborg,67,2
6052, 2.695.000, Dommervænget 14A,4000 Roskilde,110,5
6053, 3.195.000, Ved Sønderport 22 1 th ,2300 København S,64,2
6054, 4.300.000, Telefontorvet 4,8000 Aarhus C,107,3
6055, 11.995.000, Frederik VIs Alle 6,2000 Frederiksberg,133,5
6056, 769.000, Højtoftegade 14,8940 Randers SV,81,2
6057, 795.000, Sorøvej 14,4230 Skælskør,77,3
6058, 1.045.000, Kongehusvej 18,6000 Kolding,54,2
6059, 1.095.000, Moltkesgade 4,8900 Randers C,94,4
6060, 1.925.000, Nygade 26A,4690 Haslev,93,2
6061, 2.198.000, Nørregade 15C,9000 Aalborg,76,3
6062, 2.295.000, Brøndbyvestervej 68B,2605 Brøndby,82,3
6063, 2.445.000, Holbækvej 2,4000 Roskilde,101,3
6064, 2.525.000, Pærehaven 17 ,4600 Køge,96,3
6065, 3.175.000, Skovgaardsgade 16,8000 Aarhus C,72,3
6066, 3.245.000, Bernhard Bangs Alle 57,2000 Frederiksberg,65,2
6067, 3.995.000, Klaregade 18,5000 Odense C,158,4
6068, 11.900.000, Trangravsvej 37,1436 København K,132,3
6069, 500.000, Ægirsvej 5,8920 Randers NV,62,2
6070, 798.000, Vestergade 19F ,6800 Varde,56,2
6071, 1.075.000, Rantzausgade 11,2200 København N,29,1
6072, 1.095.000, Nørregade 26D ,9800 Hjørring,72,0
6073, 1.425.000, Rundhøj Allé 80A,8270 Højbjerg,63,2
6074, 1.495.000, Vadholm 4 st tv ,2800 Kongens Lyngby,43,2
6075, 1.549.000, Vestergrave 37B,8900 Randers C,171,3
6076, 1.598.000, Sankelmarksgade 13A ,9000 Aalborg,47,2
6077, 1.695.000, Studsgårdvej 9,7400 Herning,197,5
6078, 1.745.000, Torvegade 1C,3000 Helsingør,83,2
6079, 1.775.000, Skodsborgvej 346 st tv ,2850 Nærum,62,2
6080, 2.049.000, Daugbjergvej 22,8000 Aarhus C,52,2
6081, 2.495.000, Strandgade 87B,3000 Helsingør,74,2
6082, 2.645.000, Baunebakkevej 73,2650 Hvidovre,74,3
6083, 2.895.000, Rebæk Søpark 13,2650 Hvidovre,101,4
6084, 2.995.000, Bremensgade 43,2300 København S,67,3
6085, 3.698.000, Marselisborg Allé 11,8000 Aarhus C,73,3
6086, 4.995.000, Øresundsvej 136 1 ,2300 København S,92,3
6087, 5.495.000, Hollændervej 18,1855 Frederiksberg C,81,3
6088, 795.000, Danmarksgade 13,8700 Horsens,53,2
6089, 820.000, Blæsbjerggade 37,6000 Kolding,51,2
6090, 1.095.000, Vestergade 38A,5700 Svendborg,59,2
6091, 1.145.000, Kildemarksvej 39,4700 Næstved,84,3
6092, 1.245.000, Broparken 5,8800 Viborg,78,3
6093, 1.248.000, Frodesgade 144,6700 Esbjerg,82,3
6094, 1.275.000, Bronzealdervænget 80,8210 Aarhus V,41,2
6095, 1.345.000, Poul Buås Vej 28,9000 Aalborg,64,2
6096, 1.395.000, Sdr. Boulevard 130,5000 Odense C,59,2
6097, 1.395.000, Gl Banegårdsvej 9,3000 Helsingør,51,2
6098, 1.395.000, Sdr. Boulevard 194,5000 Odense C,49,2
6099, 1.595.000, Drewsensvej 54,8600 Silkeborg,89,2
6100, 1.798.000, Kantorvænget 300,8240 Risskov,68,2
6101, 1.995.000, Englandsvej 14,2300 København S,57,2
6102, 2.295.000, Ordrupvej 83B st th ,2920 Charlottenlund,61,2
6103, 2.650.000, Læssevejen 2,3390 Hundested,99,4
6104, 3.495.000, Vendsysselvej 12,2720 Vanløse,74,3
6105, 3.500.000, Smakkegårdsvej 205,2820 Gentofte,93,3
6106, 3.795.000, Gammel Kongevej 70,1850 Frederiksberg C,68,3
6107, 3.850.000, Hyldegårdsvej 34D,2920 Charlottenlund,77,3
6108, 3.995.000, Ordrupvej 10,2920 Charlottenlund,81,3
6109, 5.295.000, Schubertsvej 13,2450 København SV,113,4
6110, 5.700.000, Skodsborg Strandvej 151,2942 Skodsborg,123,3
6111, 5.995.000, C.F. Møllers Allé 58,2300 København S,106,4
6112, 9.995.000, Islands Brygge 54,2300 København S,109,3
6113, 635.000, Skoleparken 2,4760 Vordingborg,63,2
6114, 1.145.000, Kystvejen 10D,9850 Hirtshals,54,2
6115, 1.295.000, Dronningensgade 21 st tv ,9400 Nørresundby,80,3
6116, 1.495.000, Gartnervang 30,4000 Roskilde,47,1
6117, 1.598.000, Rønnebærvej 16 1 tv ,2840 Holte,54,1
6118, 1.898.000, Tøndergade 98,8000 Aarhus C,76,2
6119, 2.995.000, Ordrup Jagtvej 42B,2920 Charlottenlund,86,3
6120, 4.295.000, Helga Pedersens Gade 9,8000 Aarhus C,87,3
6121, 4.900.000, Skodsborg Strandvej 149,2942 Skodsborg,92,2
6122, 4.900.000, Skodsborgvej 412,2942 Skodsborg,94,2
6123, 5.700.000, Skodsborgvej 412,2942 Skodsborg,103,3
6124, 6.495.000, Fredericiagade 23,1310 København K,120,3
6125, 6.700.000, Skodsborgvej 412,2942 Skodsborg,136,4
6126, 7.250.000, Skodsborgvej 408,2942 Skodsborg,169,5
6127, 9.595.000, Overgaden Oven Vandet 52,1415 København K,133,3
6128, 26.000.000, Langelinie Allé 25A 3 tv ,2100 København Ø,216,4
6129, 1.125.000, Kystvejen 10G Dør/lejl. 213,9850 Hirtshals,55,2
6130, 1.850.000, Silkeborgvej 162,8000 Aarhus C,47,2
6131, 3.995.000, Tallinngade 2,2150 Nordhavn,71,2
6132, 3.995.000, Skovkrogen 6,2920 Charlottenlund,84,3
6133, 4.100.000, Tallinngade 6,2150 Nordhavn,74,2
6134, 4.495.000, Nordre Ringgade 78,8200 Aarhus N,122,3
6135, 5.995.000, Mariehamngade 3,2150 Nordhavn,104,2
6136, 7.650.000, Tallinngade 8,2150 Nordhavn,136,3
6137, 7.995.000, Tallinngade 4,2150 Nordhavn,94,2
6138, 1.295.000, Gulirisvej 49,6792 Rømø,97,4
6139, 1.495.000, Jakob Skomager Vej 10 2 1 ,9000 Aalborg,66,2
6140, 4.945.000, Ørnevej 6B 7 th ,9900 Frederikshavn,139,2
6141, 4.995.000, Godthåbsvej 17 3 tv ,2000 Frederiksberg,82,3
6142, 1.745.000, Ordrup Jagtvej 183,2920 Charlottenlund,40,1
6143, 2.390.000, Dagmar Petersens Gade 92A,8000 Aarhus C,57,2
6144, 5.995.000, Vejlesøparken 11,2840 Holte,126,5
6145, 225.000, Parallelvej 20A ,3070 Snekkersten,16,1
6146, 1.095.000, Stenkær 6A,4000 Roskilde,34,1
6147, 1.095.000, Broparken 10,8800 Viborg,70,3
6148, 1.195.000, Museumsgade 68,7400 Herning,65,2
6149, 2.150.000, Sejrsvej 139,6300 Gråsten,115,3
6150, 2.895.000, Blegdalsparken 53,9000 Aalborg,97,3
6151, 3.995.000, Trøjborgvej 8T,8200 Aarhus N,89,3
6152, 5.995.000, Admiralgade 23,1066 København K,72,2
6153, 1.895.000, Bogtrykkervej 12,2400 København NV,58,2
6154, 2.350.000, Billesborgvej 16E ,4681 Herfølge,92,4
6155, 2.495.000, Lyngby Hovedgade 86B,2800 Kongens Lyngby,68,2
6156, 2.695.000, Rødovre Parkvej 195,2610 Rødovre,73,3
6157, 4.695.000, Ordrupvej 41D,2920 Charlottenlund,80,3
6158, 4.750.000, Mølleåparken 17,2800 Kongens Lyngby,90,4
6159, 5.995.000, Jægersborg Alle 37,2920 Charlottenlund,129,5
6160, 7.495.000, Magstræde 20 ,1204 København K,147,6
6161, 7.995.000, Tallinngade 4,2150 Nordhavn,93,2
6162, 498.000, Fægangsvej 11D,8585 Glesborg,43,2
6163, 748.000, Gl. Hobrovej 27,8920 Randers NV,73,3
6164, 1.395.000, Krogerupgade 65,2200 København N,36,1
6165, 1.495.000, Sundvej 69A,8700 Horsens,78,3
6166, 1.575.000, Skyttegårdvej 7 st th ,2500 Valby,48,2
6167, 1.798.000, Hougårdsvej 28,8220 Brabrand,74,3
6168, 1.895.000, Frederiksdalsvej 8B,2830 Virum,56,2
6169, 2.295.000, Elbagade 73,2300 København S,50,2
6170, 3.845.000, Glamsbjergvej 22E,2770 Kastrup,76,3
6171, 5.495.000, Sct Olai Gade 27A ,3000 Helsingør,136,7
6172, 6.150.000, Orangerierne blok 1 - Penthouse,3500 Værløse,165,4
6173, 875.000, Vestergade 179B ,5700 Svendborg,62,3
6174, 898.000, Rosenvængets Alle 101,6700 Esbjerg,56,2
6175, 1.295.000, Lindegade 10,6070 Christiansfeld,98,2
6176, 1.595.000, Albertslundvej 117,2625 Vallensbæk,68,2
6177, 1.599.000, Rødager Alle 61B,2610 Rødovre,45,2
6178, 1.795.000, Tjørnerækken 7,2300 København S,40,1
6179, 2.060.000, Frederiksdalsvej 10B,2830 Virum,58,2
6180, 2.195.000, Kastrupvej 50,2300 København S,63,2
6181, 3.095.000, Rosen 22 ,4300 Holbæk,104,3
6182, 3.995.000, Aldershvilevej 100,2880 Bagsværd,132,4
6183, 4.295.000, Brohusgade 6 3 th ,9000 Aalborg,105,3
6184, 7.495.000, Øster Teglgårdsvej 35,8800 Viborg,172,4
6185, 445.000, Dageløkke Marina 6D,5953 Tranekær,40,2
6186, 649.000, Thistedvej 6 2 th ,9400 Nørresundby,47,2
6187, 1.698.000, Rundhøj Allé 84,8270 Højbjerg,83,3
6188, 1.849.000, Mindet 7,8660 Skanderborg,72,2
6189, 1.998.000, Klokkeskovvej 15T,8260 Viby J,93,3
6190, 2.995.000, Lodsgården 5C,2791 Dragør,75,3
6191, 3.250.000, Frederikssundsvej 406,2700 Brønshøj,96,4
6192, 3.348.000, Østre Havnegade 44,9000 Aalborg,106,3
6193, 6.495.000, Kochsvej 35B,1812 Frederiksberg C,99,4
6194, 3.349.000, Jyllandsvej 12A,2000 Frederiksberg,58,2
6195, 695.000, Fruelundsvej 51 ,5750 Ringe,48,2
6196, 895.000, Søndergade 2B,4050 Skibby,95,3
6197, 1.095.000, Nikkelsbækvej 39B,4780 Stege,81,4
6198, 1.420.000, Prins Ottos Vej 4F ,8960 Randers SØ,102,3
6199, 1.795.000, Lindevej 48,4720 Præstø,86,2
6200, 1.895.000, Guldrankevej 11,5200 Odense V,66,2
6201, 2.195.000, Sandmarksbo 1,4600 Køge,85,2
6202, 2.345.000, Skuderløse Bygade 36A ,4690 Haslev,240,3
6203, 2.345.000, Strandkvanen 10G ,4600 Køge,59,2
6204, 2.550.000, Ålekistevej 172,2720 Vanløse,87,2
6205, 2.995.000, Marstalsgade 49,2100 København Ø,48,2
6206, 3.298.000, Knudrisgade 47B,8000 Aarhus C,79,3
6207, 3.500.000, Mathilde Parken 21,3400 Hillerød,129,4
6208, 3.850.000, Sophus Bauditz Vej 4,2920 Charlottenlund,66,3
6209, 3.995.000, Mariane Thomsens Gade 39,8000 Aarhus C,95,2
6210, 4.495.000, Niels Juels Gade 58A,8200 Aarhus N,98,4
6211, 4.600.000, Snaregade 6,1205 København K,79,3
6212, 4.995.000, Nordøstpassagen 30,8700 Horsens,159,4
6213, 5.995.000, Store Strandstræde 18E,1255 København K,81,1
6214, 1.550.000, Hedekæret 49,2640 Hedehusene,56,2
6215, 1.895.000, Albanigade 59,5000 Odense C,89,2
6216, 1.995.000, Ellebækvej 50,2820 Gentofte,52,2
6217, 875.000, Asser Rigs Vej 31A,8960 Randers SØ,84,2
6218, 1.198.000, Darumvej 81A ,6700 Esbjerg,74,3
6219, 1.395.000, Sjællandsgade 87 3 th ,9000 Aalborg,66,3
6220, 3.300.000, Orangerierne blok 1 - 3V 1 sal,3500 Værløse,74,2
6221, 3.300.000, Orangerierne blok 3 - 3V Stue,3500 Værløse,75,2
6222, 3.300.000, Orangerierne blok 3 - 3V 1. sal,3500 Værløse,75,2
6223, 4.150.000, Østerbrogade 212,2100 København Ø,84,3
6224, 4.695.000, Strandvejen 20B,2100 København Ø,94,3
6225, 4.795.000, Trørødvej 28B,2950 Vedbæk,112,4
6226, 895.000, Arnakkegårds Alle 11F,4390 Vipperød,63,2
6227, 1.095.000, Skagavej 93C ,9990 Skagen,51,2
6228, 1.423.000, Nygårdsvej 133,6700 Esbjerg,85,3
6229, 1.895.000, Frisvadvej 3,6800 Varde,150,4
6230, 1.995.000, Østerbrogade 42,9400 Nørresundby,100,3
6231, 2.045.000, Frederikssundsvej 414,2700 Brønshøj,62,3
6232, 2.249.000, Gladsaxevej 100,2860 Søborg,68,3
6233, 2.275.000, Blytækkervej 5C,3400 Hillerød,65,2
6234, 3.120.000, Nygårdsvej 60,2100 København Ø,58,2
6235, 4.298.000, Åboulevarden 51 3 tv ,8000 Aarhus C,96,4
6236, 5.795.000, Lyngby Hovedgade 57B,2800 Kongens Lyngby,103,4
6237, 395.000, Vestergade 32,7600 Struer,77,2
6238, 1.275.000, Anders Billes Vej 11,7000 Fredericia,253,6
6239, 1.298.000, Svendsgade 64,6700 Esbjerg,65,2
6240, 1.398.000, Vesterbro 119,9000 Aalborg,80,3
6241, 1.675.000, Færgegaardsvej 89,4760 Vordingborg,80,2
6242, 1.895.000, Ordrupvej 41C,2920 Charlottenlund,45,2
6243, 2.195.000, Englandsvej 34D,2300 København S,64,2
6244, 2.585.000, Vigerslevvej 65,2500 Valby,76,3
6245, 3.995.000, Langelandsgade 121,8000 Aarhus C,102,3
6246, 4.148.000, Helga Pedersens Gade 1,8000 Aarhus C,107,3
6247, 1.150.000, Strubjerg 1,9400 Nørresundby,83,3
6248, 1.545.000, Vesterbro 119 1 tv ,9000 Aalborg,63,2
6249, 3.495.000, Østre Stationsvej 39A,5000 Odense C,127,4
6250, 4.500.000, Nørrebrogade 24,2200 København N,92,3
6251, 995.000, Assensvej 93B ,5600 Faaborg,65,2
6252, 995.000, Mølletoften 9,8940 Randers SV,108,4
6253, 1.600.000, Engstedet 7,3500 Værløse,62,2
6254, 1.750.000, Rundhøj Alle 84,8270 Højbjerg,83,3
6255, 2.995.000, Danmarksgade 62,9000 Aalborg,112,3
6256, 3.490.000, Baldersgade 76,2200 København N,63,2
6257, 4.995.000, Hedesøvej 12,2640 Hedehusene,148,4
6258, 10.995.000, Sundkaj 7,2150 Nordhavn,114,4
6259, 595.000, Mejerigade 2,9700 Brønderslev,69,3
6260, 2.050.000, Daugbjergvej 28,8000 Aarhus C,52,2
6261, 2.695.000, Hjelmerstald 13,9000 Aalborg,106,3
6262, 2.695.000, Nørre Boulevard 164 ,4600 Køge,97,4
6263, 9.750.000, Cort Adelers Gade 1 st th ,1053 København K,95,3
6264, 495.000, Sirenevej 2,3730 Nexø,28,1
6265, 585.000, Falkevej 3K ,9900 Frederikshavn,54,2
6266, 1.050.000, Islandsgade 38,6700 Esbjerg,65,2
6267, 1.225.000, Odinsvej 1A,8800 Viborg,87,3
6268, 1.448.000, Snerlevej 9,9000 Aalborg,79,3
6269, 1.595.000, Færøgade 59 1 tv ,9000 Aalborg,75,3
6270, 1.695.000, Nærum Hovedgade 65 1 b ,2850 Nærum,59,1
6271, 2.150.000, Rosenvangs Allé 251,8270 Højbjerg,75,3
6272, 2.250.000, Dronninggårds Alle 1B,2840 Holte,55,2
6273, 2.495.000, Roskildevej 283,2610 Rødovre,60,3
6274, 6.995.000, Århus Plads 4,2100 København Ø,115,4
6275, 995.000, Kochsvej 1,9800 Hjørring,82,3
6276, 1.165.000, Holmen 4 st ,7100 Vejle,68,3
6277, 1.495.000, Hadsundvej 21 st ,9000 Aalborg,97,3
6278, 2.100.000, Arnesvej 7,2700 Brønshøj,64,2
6279, 3.700.000, Julius Posselts Vej 3A 16 3 ,9400 Nørresundby,114,3
6280, 4.495.000, Wilkensvej 17D,2000 Frederiksberg,86,3
6281, 9.295.000, Bohrsgade 2,1799 København V,163,4
6282, 495.000, Birkevej 1B,8620 Kjellerup,67,3
6283, 525.000, Snerlevej 1,8930 Randers NØ,64,3
6284, 1.350.000, H. C. Andersens Vej 28,9000 Aalborg,80,3
6285, 1.649.000, Langelinie 37 st tv ,7100 Vejle,86,3
6286, 2.145.000, Købmagergade 54,7000 Fredericia,105,2
6287, 2.895.000, Marbækvej 8,2750 Ballerup,77,2
6288, 3.895.000, Åboulevarden 58,8000 Aarhus C,104,3
6289, 4.195.000, Plantagevej 2B,2800 Kongens Lyngby,99,3
6290, 4.945.000, Ørnevej 6B 7 tv ,9900 Frederikshavn,136,2
6291, 5.395.000, Valdemarsgade 49A,1665 København V,112,3
6292, 745.000, Snerlevej 7,8930 Randers NØ,64,2
6293, 798.000, Rødkærvej 11,8471 Sabro,52,1
6294, 1.145.000, Fynsvej 13,6000 Kolding,90,3
6295, 2.375.000, Brøndbyvestervej 60C,2605 Brøndby,82,3
6296, 2.375.000, Langesvej 23,3400 Hillerød,83,4
6297, 3.995.000, Judithsvej 9,2900 Hellerup,82,3
6298, 9.995.000, Helgolandsgade 8A,1653 København V,214,4
6299, 648.000, Nyvangsvej 13 2 th ,8900 Randers C,56,3
6300, 1.199.000, Pilegårdsvej 54,2860 Søborg,39,1
6301, 1.595.000, Revlingbakken 44,9000 Aalborg,95,4
6302, 1.998.000, Vigerslevvej 148 st th ,2500 Valby,52,2
6303, 2.195.000, Havnegade 38A,9370 Hals,114,3
6304, 2.595.000, Horsekildevej 40,2500 Valby,61,2
6305, 2.995.000, Lybækgade 1 st th ,2300 København S,62,3
6306, 3.345.000, Dronningensgade 42,1420 København K,54,2
6307, 4.395.000, Ved Volden 2,1425 København K,77,2
6308, 445.000, Granly Alle 5D,6710 Esbjerg V,46,2
6309, 999.000, Aaparken 14,8300 Odder,61,2
6310, 1.295.000, Prinsensgade 2,9800 Hjørring,78,3
6311, 1.998.000, Dr. Holsts Vej 28,8230 Åbyhøj,91,3
6312, 2.100.000, Hedevænget 6,4000 Roskilde,78,3
6313, 2.650.000, Broholms Alle 28,2920 Charlottenlund,63,2
6314, 3.495.000, Gyldenløvesgade 21,1600 København V,63,2
6315, 7.495.000, Sankt Peders Stræde 32,1453 København K,122,4
6316, 11.745.000, Fuglebakkevej 88A,2000 Frederiksberg,173,5
6317, 12.495.000, Fuglebakkevej 88B,2000 Frederiksberg,178,5
6318, 445.000, Granly Alle 5D,6710 Esbjerg V,47,2
6319, 598.000, Vesterhavsgade 47,6700 Esbjerg,42,1
6320, 1.095.000, Ternevej 139,5210 Odense NV,76,3
6321, 1.095.000, Nørregade 26E ,9800 Hjørring,74,2
6322, 1.095.000, Eremitageparken 323,2800 Kongens Lyngby,33,1
6323, 1.385.000, Strøvej 1A,3320 Skævinge,85,3
6324, 1.635.000, Julius Posselts Vej 3B,9400 Nørresundby,60,2
6325, 2.995.000, Ermelundsvej 47,2820 Gentofte,77,3
6326, 5.095.000, Robert Jacobsens Vej 5A,2300 København S,115,4
6327, 8.650.000, Dunkerquegade 37,2150 Nordhavn,128,3
6328, 9.995.000, Falkoner Alle 57,2000 Frederiksberg,167,4
6329, 2.198.000, Lollandsgade 44,8000 Aarhus C,57,2
6330, 2.495.000, Geelskovparken 50,2830 Virum,61,2
6331, 749.000, Sct. Mogens Gade 32B,8800 Viborg,56,2
6332, 1.198.000, Kirkegårdsgade 2,9000 Aalborg,61,2
6333, 1.680.000, Marselis Boulevard 132,8000 Aarhus C,55,2
6334, 1.895.000, Nærum Hovedgade 76,2850 Nærum,54,2
6335, 1.895.000, Tøndergade 96,8000 Aarhus C,72,2
6336, 2.199.000, Plantevej 5,2870 Dyssegård ,66,2
6337, 2.295.000, Grøntoften 7,2870 Dyssegård ,66,3
6338, 3.795.000, Sct. Laurentii Vej 24B ,9990 Skagen,114,2
6339, 5.450.000, Fuglebakkevej 88D,2000 Frederiksberg,89,3
6340, 1.098.000, Strandbygade 67 2 tv ,6700 Esbjerg,60,2
6341, 1.348.000, Klevevej 47,6950 Ringkøbing,69,3
6342, 1.595.000, Olaf Rudes Vej 23,8270 Højbjerg,48,2
6343, 2.595.000, Holger Danskes Vej 30,2000 Frederiksberg,52,1
6344, 1.520.000, Hyacintgården 3,2300 København S,35,1
6345, 3.195.000, Alarmpladsen 5,2650 Hvidovre,91,3
6346, 699.000, Lindegade 10,6070 Christiansfeld,61,2
6347, 775.000, Lønne Feriepark 154E,6830 Nørre Nebel,68,3
6348, 885.000, Løkkevej 24,7620 Lemvig,59,4
6349, 1.175.000, Buegården 13,2880 Bagsværd,34,1
6350, 3.598.000, Smedebakken 82,8600 Silkeborg,110,4
6351, 3.698.000, Ceresbyen 37,8000 Aarhus C,86,3
6352, 4.198.000, Guldsmedgade 27A,8000 Aarhus C,93,3
6353, 6.795.000, Dexter Gordons Vej 53,2450 København SV,115,4
6354, 1.545.000, Ørnebjergvej 12B,2600 Glostrup,52,2
6355, 1.595.000, Svenstrupvej 31B,5260 Odense S,148,4
6356, 2.485.000, Haslevej 12C ,8230 Åbyhøj,85,3
6357, 2.995.000, Aastrupvej 17,6100 Haderslev,146,4
6358, 2.998.000, Vestre Ringgade 156,8000 Aarhus C,82,4
6359, 3.495.000, Bavnehøj Park 31,3500 Værløse,94,4
6360, 3.695.000, Lehwaldsvej 5,2800 Kongens Lyngby,101,3
6361, 7.800.000, Thorsgade 35,8900 Randers C,197,4
6362, 10.650.000, Mariehamngade 3,2150 Nordhavn,110,2
6363, 795.000, Stationsvej 9,8981 Spentrup,88,3
6364, 6.595.000, Søndre Badevej 6L ,4600 Køge,151,5
6365, 795.000, Skolegade 45C,8600 Silkeborg,32,1
6366, 1.798.000, Grøfthøjparken 152,8260 Viby J,106,3
6367, 695.000, Gladsaxe Møllevej 105,2860 Søborg,16,2
6368, 1.850.000, Kollelevbakken 3C,2830 Virum,52,2
6369, 4.125.000, Bernhardt Jensens Boulevard 123,8000 Aarhus C,88,2
6370, 5.835.000, Göteborg Plads 12,2150 Nordhavn,103,3
6371, 5.095.000, Mariehamngade 5,2150 Nordhavn,88,2
6372, 1.775.000, Frederiksdalsvej 103A,2830 Virum,53,2
6373, 1.845.000, Virum Stationsvej 149A,2830 Virum,50,2
6374, 1.895.000, Drewsensvej 29,5000 Odense C,75,2
6375, 2.845.000, Biskop Svanes Vej 59H,3460 Birkerød,70,3
6376, 4.595.000, Bregnerødvej 4F,3460 Birkerød,100,3
6377, 14.995.000, Carolinevej 12B,2900 Hellerup,165,4
6378, 1.195.000, Sandmarksbo 2,4600 Køge,53,2
6379, 3.695.000, Husumvej 98,2700 Brønshøj,108,4
6380, 798.000, Helge Rodes Vej 13A,8210 Aarhus V,30,1
6381, 1.095.000, Aaparken 10 2 th ,8300 Odder,73,3
6382, 1.095.000, Nørregade 32,8300 Odder,70,3
6383, 2.499.000, Broholms Alle 30 st th ,2920 Charlottenlund,65,2
6384, 3.325.000, Fuglsang Holm 5,7400 Herning,140,4
6385, 3.425.000, Fuglsang Holm 3,7400 Herning,140,4
6386, 4.750.000, Carl Blochs Gade 59,8000 Aarhus C,118,5
6387, 5.295.000, Højdevej 6,2300 København S,88,3
6388, 5.295.000, Højdevej 4,2300 København S,91,3
6389, 448.000, Strubjerg 34,9400 Nørresundby,31,1
6390, 995.000, Stjernevej 5 2 th ,7100 Vejle,69,3
6391, 2.795.000, Borups Allé 243,2400 København NV,64,2
6392, 2.995.000, Bjelkes Allé 12,2200 København N,54,2
6393, 2.995.000, Fuglsang Holm 3,7400 Herning,140,4
6394, 5.099.000, Dunkerquegade 13,2150 Nordhavn,81,2
6395, 5.895.000, Skanderborggade 5,2100 København Ø,86,3
6396, 745.000, Højgaardsvej 5 st 3 ,8300 Odder,47,2
6397, 875.000, Beatesmindevej 121,9210 Aalborg SØ,61,2
6398, 1.045.000, Strubjerg 252,9400 Nørresundby,84,2
6399, 3.298.000, Nordøstpassagen 22,8700 Horsens,144,4
6400, 3.350.000, Julius Posselts Vej 3A,9400 Nørresundby,114,3
6401, 3.995.000, Fjordgade 10,8930 Randers NØ,149,4
6402, 3.995.000, Duevej 46,2000 Frederiksberg,70,3
6403, 4.298.000, Nordøstpassagen 24,8700 Horsens,125,3
6404, 5.198.000, Nordøstpassagen 22,8700 Horsens,159,4
6405, 5.198.000, Nordøstpassagen 24,8700 Horsens,143,4
6406, 10.300.000, Strynøgade 4,2100 København Ø,182,5
6407, 1.395.000, Ingerslevsgade 108,1705 København V,58,2
6408, 2.785.000, Teglgårdsvej 51,2920 Charlottenlund,56,2
6409, 699.000, Lindvedparken 34B,5260 Odense S,37,1
6410, 1.175.000, Sundvej 69A,8700 Horsens,78,3
6411, 1.875.000, Jens Baggesens Vej 104,8200 Aarhus N,71,2
6412, 2.195.000, Åboulevarden 51C st ,8000 Aarhus C,51,1
6413, 3.198.000, Chr. Wærums Gade 22,8000 Aarhus C,68,2
6414, 3.395.000, Borups Allé 217A,2400 København NV,75,3
6415, 4.695.000, Højstrupvej 148,2700 Brønshøj,121,5
6416, 7.650.000, Brannersvej 7,2920 Charlottenlund,141,4
6417, 13.250.000, Carl Johans Gade 1,2100 København Ø,246,6
6418, 25.000.000, Landemærket 27,1119 København K,238,4
6419, 1.198.000, Falstersgade 19 1 tv ,9000 Aalborg,57,2
6420, 1.595.000, Skejbytoften 121,8200 Aarhus N,60,2
6421, 1.595.000, Vindegade 95,5000 Odense C,69,3
6422, 2.499.000, Helmer Søgårds Alle 15,2770 Kastrup,62,3
6423, 695.000, Storegade 19A 1 ,9560 Hadsund,167,5
6424, 1.549.000, Skibhusvej 179 1 th ,5000 Odense C,72,3
6425, 1.995.000, Hasserisgade 5 1 th ,9000 Aalborg,93,3
6426, 6.815.000, Grøndahlsvej 21,7400 Herning,183,4
6427, 1.048.000, Skolegade 70A,6700 Esbjerg,63,2
6428, 1.798.000, Banegårdsvej 2,8660 Skanderborg,89,3
6429, 2.200.000, Liselejevej 48B,3360 Liseleje,56,2
6430, 2.600.000, Liselejevej 48B,3360 Liseleje,68,2
6431, 2.798.000, Mønsgade 8A,8000 Aarhus C,64,2
6432, 3.250.000, Liselejevej 48E ,3360 Liseleje,83,2
6433, 3.250.000, Liselejevej 48D ,3360 Liseleje,83,2
6434, 3.250.000, Liselejevej 48C ,3360 Liseleje,88,2
6435, 3.500.000, Liselejevej 48F ,3360 Liseleje,88,2
6436, 3.950.000, Liselejevej 48B,3360 Liseleje,105,3
6437, 3.950.000, Liselejevej 48B,3360 Liseleje,105,3
6438, 3.950.000, Liselejevej 48B,3360 Liseleje,105,3
6439, 3.950.000, Liselejevej 48B,3360 Liseleje,105,3
6440, 6.995.000, Brolæggerstræde 13,1211 København K,126,5
6441, 498.000, Mirabellevej 4,8370 Hadsten,43,1
6442, 1.145.000, Børglumvej 37 st th ,7400 Herning,132,3
6443, 3.650.000, Bianco Lunos Alle 8,1868 Frederiksberg C,63,3
6444, 4.495.000, Sundkaj 87,2150 Nordhavn,73,3
6445, 6.995.000, Østbanetorvet 7,8000 Aarhus C,114,4
6446, 1.595.000, Stengårds Alle 6,2800 Kongens Lyngby,39,1
6447, 1.298.000, Silkeborgvej 178,8000 Aarhus C,32,1
6448, 845.000, Mølledamsgade 8 1 2 ,8600 Silkeborg,43,2
6449, 2.295.000, Maglekæret 8D ,2680 Solrød Strand,79,3
6450, 3.199.000, P.P. Ørums Gade 10,8000 Aarhus C,71,2
6451, 1.595.000, Kochsgade 8,5000 Odense C,75,2
